month,division,line,day_type,num_on_time_trips,num_sched_trips,terminal_on_time_performance
9/1/2023,B DIVISION,A,2,2311,3219,0.71792483
9/1/2023,B DIVISION,B,1,2842,3920,0.725
9/1/2023,B DIVISION,C,1,2784,4266,0.65260196
9/1/2023,B DIVISION,C,2,1007,1560,0.6455128
9/1/2023,B DIVISION,D,1,3878,5482,0.70740604
9/1/2023,B DIVISION,D,2,1762,2160,0.81574076
9/1/2023,B DIVISION,E,1,5558,8039,0.69137955
9/1/2023,B DIVISION,E,2,1428,2100,0.68
9/1/2023,B DIVISION,F,1,4797,7798,0.6151577
9/1/2023,B DIVISION,F,2,1352,2090,0.6468899
9/1/2023,B DIVISION,FS,1,4498,4720,0.9529661
9/1/2023,B DIVISION,FS,2,2083,2120,0.98254716
9/1/2023,B DIVISION,G,1,4605,5656,0.81417966
9/1/2023,B DIVISION,G,2,2393,2554,0.93696165
9/1/2023,B DIVISION,H,1,3163,3360,0.94136906
9/1/2023,B DIVISION,H,2,1536,1565,0.98146963
9/1/2023,B DIVISION,J,1,4828,5592,0.86337626
9/1/2023,B DIVISION,J,2,2121,2400,0.88375
9/1/2023,B DIVISION,L,1,9984,10910,0.91512376
9/1/2023,B DIVISION,L,2,3590,3744,0.95886755
9/1/2023,B DIVISION,M,1,4328,4851,0.8921872
9/1/2023,B DIVISION,M,2,1720,1784,0.9641256
9/1/2023,B DIVISION,N,1,6106,9420,0.6481953
9/1/2023,B DIVISION,N,2,1546,2160,0.71574074
9/1/2023,B DIVISION,Q,1,4830,6522,0.74057037
9/1/2023,B DIVISION,Q,2,3392,3882,0.8737764
9/1/2023,B DIVISION,R,1,4851,6028,0.80474454
9/1/2023,B DIVISION,R,2,1698,2146,0.7912395
10/1/2023,A DIVISION,1,1,8162,10092,0.8087594
10/1/2023,A DIVISION,1,2,2160,2656,0.813253
10/1/2023,A DIVISION,2,1,4914,7167,0.68564254
10/1/2023,A DIVISION,2,2,1535,2438,0.6296144
10/1/2023,A DIVISION,3,1,5348,6576,0.8132603
10/1/2023,A DIVISION,3,2,1106,1458,0.7585734
10/1/2023,A DIVISION,4,1,6615,8196,0.807101
10/1/2023,A DIVISION,4,2,1901,2388,0.79606366
10/1/2023,A DIVISION,5,1,5673,7155,0.79287213
10/1/2023,A DIVISION,5,2,1401,1679,0.8344253
10/1/2023,A DIVISION,6,1,9236,12199,0.75711125
10/1/2023,A DIVISION,6,2,2231,2618,0.85217726
10/1/2023,A DIVISION,7,1,12485,14122,0.8840816
10/1/2023,A DIVISION,7,2,2650,3004,0.88215715
